specimen,population,HdLngth/SVL,HdWdth/SVL,HdDpth/SVL,EyeNost/SVL,Gape/SVL,TrunkLgth/SVL,TrunkWdth/SVL,3rdtoehind/SVL
42643,BR,0.6280503252201239,0.5122325049024693,0.3198520210485117,0.2943188721686681,0.5086864610317182,0.8579938998146762,0.4491247257546048,0.22824434981504424
42644,BR,0.6241234882930294,0.5147742986423178,0.32289897727379,0.20200445864599859,0.508949601427617,0.8676434561469921,0.44325485435991496,0.2204522326128548
42646,BR,0.6290561466152644,0.5114393707456462,0.26840775877580475,0.2006615393891466,0.5097535782577801,0.8543051913957745,0.42128860211012836,0.19295666600782033
42648,BR,0.6314800158176281,0.5380613298141321,0.341582100211875,0.3175035345059268,0.5173598330763843,0.8754059825146338,0.4820217499057091,0.15565202771482367
42649,BR,0.6373934091510767,0.5296932826194837,0.35776289092115415,0.292439137539384,0.5242815110722057,0.8749175325563886,0.4727651588887695,0.24175246493314237
42650,BR,0.6356905994294593,0.5333083437179295,0.36238319994674556,0.3122220315889004,0.5229630475895185,0.8726252404136313,0.45633834663186446,0.16932299991710337
42651,BR,0.6308360507763314,0.5504195870466247,0.3695670105974608,0.3161615108739374,0.5393675620045298,0.8747565489156041,0.4729678623154155,0.21930956884562777
42652,BR,0.6394628145613319,0.550177691794149,0.35365418725660003,0.29464685010552294,0.5335425356535615,0.8648480073862898,0.46135688518776835,0.18622457385336016
42656,BR,0.6347510187218056,0.5338398500673518,0.344211369429938,0.3080944572838729,0.5223903467544584,0.877129468400203,0.46856870921096633,0.18727568481622198
42657,BR,0.6434156668747599,0.5441946978243885,0.37556957488565906,0.32266054235297686,0.5272332259764009,0.8603389561091735,0.4787756615223092,0.19555442031185574
42658,BR,0.6376420716083379,0.5445050830952302,0.35485289054741725,0.30539882492221737,0.5330621376241184,0.8709719636144954,0.4925631568646509,0.25112880798735243
42659,BR,0.6376355471470868,0.5397536706160763,0.33543600539978075,0.2757282220955371,0.5232502543673827,0.8793521501245617,0.45812927993873637,0.17906849214869874
42660,BR,0.6390535969558844,0.5380507811381636,0.3324787104600773,0.2869748289233127,0.5225387612448437,0.8682276031028539,0.4455515926273523,0.2300850863098956
42661,BR,0.6455241992439691,0.5088515795486992,0.33357339860106466,0.2875029334247877,0.5061463755646382,0.8724495542505109,0.4547371162866278,0.20797433007265534
42663,BR,0.6263449131041009,0.5254685787300482,0.3326471054300787,0.2722099554677808,0.5168492551134087,0.8679814646422027,0.4653626770452216,0.1967098946416112
42664,BR,0.6323821788589585,0.5370709080945549,0.35405281625704593,0.3056005039984405,0.517913060897215,0.8801587150319007,0.49608365423094913,0.2437452952010894
42665,BR,0.6411197595264493,0.5388206319432753,0.33790440059589116,0.28113685588174575,0.5334113011781721,0.8709926190906873,0.48513369038916093,0.21446744305701085
42666,BR,0.6422973812699021,0.5485586131956236,0.3815309773774244,0.32761341767230734,0.5264655362063594,0.8755272734138133,0.5101760602053721,0.1806650296640515
42668,BR,0.6460430152786315,0.5467519054337829,0.37841550622140463,0.3188894831939305,0.5349155615853224,0.8760246319631964,0.5284281153947608,0.23987260255257728
42669,BR,0.6243699430658385,0.5375130364790001,0.3164748215854969,0.3031241592800887,0.5257606786779735,0.8622501887809226,0.4835865088278239,0.19676611425322058
42670,BR,0.6238566743124575,0.5440526825901794,0.3417231444223502,0.3199232084037367,0.5394490977715811,0.8723546819829635,0.5079626173605172,0.20728092939592438
42671,BR,0.6306798207717436,0.5399733193928468,0.37384644009817997,0.2693078557190183,0.5217627239371248,0.8579671558482921,0.5049490805023621,0.21737175694940294
42672,BR,0.6276019565873509,0.5205424613557681,0.33337826871679066,0.29092549813835616,0.5100215299205253,0.8665059366540331,0.4496936948138626,0.20201755528347856
42674,BR,0.6397513517275069,0.5433990712320553,0.42887296049884394,0.32128845692163827,0.527589015094912,0.8849080183493423,0.4869300630541142,0.2520729587735324
42675,BR,0.6461112649669815,0.5354394417731411,0.35569881752657323,0.28642679208889205,0.5311587409122448,0.8714378257970915,0.4737111252113707,0.22035003243765963
42678,BR,0.62768596848379,0.5202055836392634,0.3440190824468592,0.27311941625197816,0.5082203627267309,0.8781482157512407,0.4632675595002512,0.19042491660036764
42679,BR,0.6288647293755985,0.5281772645199719,0.32158322846783644,0.27461775372927105,0.5109069831406438,0.8659852150911237,0.45896834436787715,0.18503595927191388
42680,BR,0.6276910664007416,0.5123968142948384,0.30268459765950223,0.2537480711339133,0.5099605568103974,0.8720332312850771,0.4666251168045772,0.19660335534790258
42681,BR,0.6283252101202511,0.5370804439977361,0.3077231237739423,0.23976053210157477,0.519436280291697,0.8585202460534198,0.4529169298466857,0.20083219969986768
42682,BR,0.6259884287889953,0.5400496046956468,0.32883113952018594,0.2995175229427074,0.5188010701962028,0.8664648243247022,0.44435897986302975,0.193405778885454
42683,BR,0.6350882723933332,0.5092119569513578,0.33094978218035737,0.34125583857559816,0.5051956985609358,0.8651714229274365,0.45907324962529383,0.23468400547466364
42684,BR,0.6272262178740968,0.5387391392284349,0.3396475781916056,0.2700339131299726,0.520142972581171,0.8746972618054306,0.4806581021923167,0.21058548176521877
42685,BR,0.6309391886211329,0.5496491705608811,0.37696027790097725,0.323741706843833,0.5313761632550018,0.8886389622461177,0.5084285511506058,0.2470075494041464
42687,BR,0.6407769831571968,0.5340691866346771,0.3378481225895253,0.3151883822375446,0.5170495551578447,0.864034329256955,0.4671161545546644,0.18523466591172344
42283,BR?,0.6283445530465384,0.5232109159211459,0.3692927631672416,0.28637285038179955,0.5118417770927672,0.8540764614814499,0.4453872075914026,0.23512824921442912
42284,BR?,0.6312496982179181,0.5257001288124509,0.33940890543823327,0.2756809341275561,0.5189121076869317,0.8731367043049019,0.4779101291339671,0.2621924780032643
42285,BR?,0.6372442187539439,0.5295078211938258,0.37467355353388737,0.29127258673551587,0.5150479355617394,0.8636726296063552,0.46280716120762155,0.23725405298000804
42286,BR?,0.6339199821614835,0.5408370123386775,0.39945841728158893,0.28370385569168294,0.5167895417989318,0.8683406850198744,0.4947098977122906,0.2534065412146118
42287,BR?,0.6303291003142114,0.5303644506531421,0.36209156782110585,0.29069007112492956,0.5113517843906913,0.8685791637184206,0.45308454650075014,0.2549189174530184
42288,BR?,0.6308605787017242,0.5332966745339323,0.3836836805782757,0.30740566721020635,0.5273324452365074,0.8588857240051335,0.4554663625011176,0.24200847723085986
42289,BR?,0.6461768186732114,0.5356484763359805,0.37492443778335044,0.33122326705429417,0.5156091765378298,0.8529569622206408,0.47808601420713553,0.20400834842765328
42290,BR?,0.6053747603034412,0.5114505979792848,0.3357274236060387,0.2903395092722289,0.49497743798616756,0.8567869288548002,0.4683291773029527,0.20234907406695404
