specimen,population,SVL,HdLngth,HdWdth,HdDpth,EyeNost,Gape,TrunkLgth,TrunkWdth,3rdtoehind,site,elevation,long.deg,long.mins,lat.deg,lat.mins
42483,CN,97.45,18.985,12.79,6.71,4.565,12.335,57.92,9.94,2.865,alarka,4400,83,21,35,20
42484,CN,90.47,17.925,11.92,6.405,4.32,11.01,50.33,9.635,2.715,alarka,4400,83,21,35,20
42485,CN,87.82,17.755,11.72,5.92,4.29,11.085,48.825,8.68,2.705,alarka,4400,83,21,35,20
42486,CN,79.63,15.63,10.965,5.635,3.5,10.565,45.655,8.35,2.78,alarka,4400,83,21,35,20
42487,CN,71.01,14.985,9.74,4.87,3.7,9.475,40.215,7.01,2.53,alarka,4400,83,21,35,20
42488,CN,79.19,15.805,10.645,5.42,3.875,9.94,45.655,7.685,2.625,alarka,4400,83,21,35,20
42489,CN,80.52,15.285,10.76,5.775,4.135,10.22,44.055,7.805,2.67,alarka,4400,83,21,35,20
42490,CN,72.01,13.995,9.56,5.02,3.7,9.115,42.965,7.05,2.62,alarka,4400,83,21,35,20
42491,CN,97.66,19.61,12.475,6.075,4.37,11.735,55.86,9.36,3.055,alarka,4400,83,21,35,20
42492,CN,86.06,17.51,11.24,6.205,4.06,10.16,48.74,8.78,2.705,alarka,4400,83,21,35,20
42493,CN,81.7,17.775,11,5.075,3.955,10.73,45.635,8.66,2.535,alarka,4400,83,21,35,20
42494,CN,78.755,15.345,10.55,5.04,3.815,10.195,46.48,7.085,2.735,alarka,4400,83,21,35,20
42495,CN,76.83,15.025,10.19,5.315,4.36,9.375,42.87,8.45,2.5,alarka,4400,83,21,35,20
42496,CN,71.13,14.085,9.22,4.35,3.15,8.9,41.385,7.465,2.485,alarka,4400,83,21,35,20
42499,CN,85.92,16.11,11.19,5.17,3.59,10.77,47.18,9.375,2.5,alarka,4400,83,21,35,20
42500,CN,78.62,15.135,10.365,5.47,3.68,10.03,45.825,8.34,2.69,alarka,4400,83,21,35,20
42501,CN,64.215,13.315,8.6,4.495,3.01,8.495,35.69,6.49,2.62,alarka,4400,83,21,35,20
42502,CN,87.225,17.01,11.665,6.28,4.99,11.15,50.99,8.49,2.67,alarka,4400,83,21,35,20
42503,CN,96.95,18.495,13.325,6.315,4.575,12.505,52.99,9.835,3.25,alarka,4400,83,21,35,20
42505,CN,67.92,14.05,8.975,4.75,3.01,8.585,38.69,6.735,2.575,alarka,4400,83,21,35,20
42506,CN,89.2,18.04,12.745,6.26,4.02,12.42,49.79,10.47,3.005,alarka,4400,83,21,35,20
42508,CN,85.925,16.915,11.015,5.765,3.975,10.62,50.265,7.625,3.065,alarka,4400,83,21,35,20
42509,CN,105.85,18.77,14.07,6.835,5.145,13.15,64.655,11.465,3.8,alarka,4400,83,21,35,20
42510,CN,72.305,14.96,10.15,4.92,3.85,9.7,42.48,7.335,2.2,alarka,4400,83,21,35,20
42511,CN,76.085,15.305,10.195,5.26,3.82,9.455,41.715,7.32,2.58,alarka,4400,83,21,35,20
40844,CS,76.925,15.345,9.045,4.72,3.795,8.355,44.98,6.9,2.75,hamburg gap,4200,83,12,35,8
40845,CS,73.38,14.465,10.05,5.255,3.66,9.055,38.81,6.87,2.595,hamburg gap,4200,83,12,35,8
40846,CS,69.045,12.855,8.385,4.785,2.875,7.605,39.52,6.8,2.73,hamburg gap,4200,83,12,35,8
40847,CS,80.88,14.805,9.895,4.845,4.46,9.455,49.775,8.76,3.25,hamburg gap,4200,83,12,35,8
41053,CS,64.89,13.44,8.755,4.97,3.315,8.195,34.805,6.14,2.61,hamburg gap,4200,83,12,35,8
41129,CS,65.295,13.01,8.97,5.435,3.525,7.905,36.09,7.22,2.205,wolf creek,3600,83,10,35,14
41152,CS,63.355,13.645,8.33,4.15,2.68,8.37,35.13,5.805,2.69,wolf creek,3600,83,10,35,14
41153,CS,75.3,13.8,9.2,5.205,3.46,9.29,42.335,7.98,2.965,wolf creek,3600,83,10,35,14
41154,CS,79.355,15.745,9.955,5.2,4.06,9.21,43.63,7.94,3.045,wolf creek,3600,83,10,35,14
41165,CS,82.105,17.015,10.635,5.595,3.89,9.75,46.54,9.815,3.115,whiteside,4800,83,13,35,4
41166,CS,72.65,15.36,9.49,5.42,3.525,8.65,40.895,8.435,3.375,whiteside,4800,83,13,35,4
41221,CS,74.715,14.65,9.68,4.71,3.795,8.98,43.255,7.095,3.085,cullowhee valley,2400,83,12,35,17
41228,CS,64.775,12.855,8.35,4.42,3.455,7.645,36.67,6.335,2.65,cullowhee valley,2400,83,12,35,17
41230,CS,65.83,13.43,8.995,5.195,3.88,7.91,34.74,7.65,2.67,cullowhee valley,2400,83,12,35,17
41231,CS,71.62,14.435,9.755,5.935,3.705,8.815,40.055,8.16,2.96,cullowhee valley,2400,83,12,35,17
42116,CS,76.825,14.645,10.295,5.54,3.91,9.53,43.785,8.63,2.855,wolf creek,3600,83,10,35,14
42117,CS,78.305,14.89,9.895,5.365,3.14,9.105,45.85,8.83,2.63,wolf creek,3600,83,10,35,14
42118,CS,80.495,15.725,10.445,6.5,3.925,9.41,47.17,9.92,3.005,wolf creek,3600,83,10,35,14
42119,CS,79.725,14.765,10.29,5.115,3.17,9.98,44.35,8.18,3.06,wolf creek,3600,83,10,35,14
42121,CS,78.58,15.805,9.28,5.03,3.46,9.77,44.345,9.665,2.48,wolf creek,3600,83,10,35,14
42122,CS,74.065,14.555,9.725,4.56,3.21,9.295,41.365,7.835,1.83,wolf creek,3600,83,10,35,14
42123,CS,79.435,15.815,10.435,5.965,3.735,9.785,45.635,9.745,2.96,wolf creek,3600,83,10,35,14
42124,CS,69.125,13.61,8.7,4.265,3.015,8.535,38.66,6.52,2.465,wolf creek,3600,83,10,35,14
42125,CS,73.1,14.73,9.03,4.81,3.64,8.815,39.96,7.885,2.395,wolf creek,3600,83,10,35,14
42126,CS,72.12,14,9.55,4.985,3.44,8.79,42.725,8.59,2.855,wolf creek,3600,83,10,35,14
42127,CS,78.39,14.62,9.72,4.985,3.28,9.005,45.635,8.11,2.41,wolf creek,3600,83,10,35,14
42128,CS,68.555,12.85,7.895,4.05,3.225,7.565,40.67,7.13,2.185,wolf creek,3600,83,10,35,14
42129,CS,68.565,12.945,8.275,4.105,2.815,7.465,38.885,7.31,2.245,wolf creek,3600,83,10,35,14
42130,CS,58.695,12.015,7.405,3.535,2.755,7.36,30.9,5.985,2.295,wolf creek,3600,83,10,35,14
42131,CS,63.005,12.685,8.35,3.77,2.84,7.94,34.92,6.42,1.97,wolf creek,3600,83,10,35,14
42132,CS,77.705,15.395,9.365,4.8,2.86,9.02,42.865,7.965,2.105,wolf creek,3600,83,10,35,14
42133,CS,65.895,12.775,8.015,3.93,3.05,7.82,36.36,6.08,2.19,wolf creek,3600,83,10,35,14
42138,CS,63.465,12.595,8.645,4.015,3.555,8.125,35.945,7.135,2.075,wolf creek,3600,83,10,35,14
42139,CS,70.12,13.095,8.765,4.065,4.025,8.38,38.735,6.34,1.925,wolf creek,3600,83,10,35,14
42140,CS,71.315,13.82,9.275,4.465,3.12,8.375,39.37,6.785,2.185,wolf creek,3600,83,10,35,14
42141,CS,73.71,14.19,9.04,4.455,3.4,8.44,42.42,7.265,1.505,wolf creek,3600,83,10,35,14
42144,CS,65.935,13.08,8.74,4.585,3.6,8.06,35.37,7.56,1.93,wolf creek,3600,83,10,35,14
42145,CS,70.9,14.53,9.575,4.69,3.355,8.915,39.215,7.295,2.61,wolf creek,3600,83,10,35,14
42148,CS,64.16,12.425,8.01,3.645,3.38,7.215,38.245,7.5,2.7,wolf creek,3600,83,10,35,14
42149,CS,78.005,14.58,9.65,4.66,3.005,8.915,43.57,7.155,2.79,wolf creek,3600,83,10,35,14
42151,CS,61.97,12.71,7.71,4.325,3.025,7.39,34.985,6.93,2.155,wolf creek,3600,83,10,35,14
42152,CS,60.455,12.555,8.215,4.355,2.5,7.66,32.525,6.28,2.17,wolf creek,3600,83,10,35,14
42223,CS,69.72,13.085,8.93,4.765,3.995,8.2,39.085,8.68,2.49,van hook glade,3400,83,15,35,4
42231,CS,66.39,11.82,8.305,4.27,3.355,7.845,38.74,5.755,1.855,cullowhee gap,3600,83,14,35,14
42232,CS,73.65,13.01,8.96,4.895,3.02,8.46,43,7.17,2.325,cullowhee gap,3600,83,14,35,14
42233,CS,80.73,15.03,10.08,5.515,3.775,9.005,48.89,7.92,3.27,cullowhee gap,3600,83,14,35,14
42234,CS,71.185,13.23,8.545,5.845,3.275,7.81,41.37,8.22,2.52,cullowhee gap,3600,83,14,35,14
